"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "encodingImgTargetFile", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\table\redflag.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\table\warningflag.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\icons\three-dots.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\images\avatar.png", "encodingImgTargetFile", 0, 0, 0, 38, 0, 0, 0, 0, 2, 40
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\images\notification\admin.svg", "XML", 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\images\notification\boy.png", "encodingImgTargetFile", 0, 0, 0, 48, 0, 0, 0, 0, 0, 48
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\images\notification\girl.png", "encodingImgTargetFile", 0, 0, 0, 46, 0, 0, 0, 0, 0, 46
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\images\reports\document.png", "encodingImgTargetFile", 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\images\reports\foundation.png", "encodingImgTargetFile", 0, 0, 0, 582, 0, 0, 0, 0, 3, 585
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\images\reports\jane.png", "encodingImgTargetFile", 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\images\reports\roof.png", "encodingImgTargetFile", 0, 0, 0, 543, 0, 0, 0, 0, 11, 554
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\images\reports\sylvester.png", "encodingImgTargetFile", 0, 0, 0, 29, 0, 0, 0, 0, 0, 29
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\images\reports\window.png", "encodingImgTargetFile", 0, 0, 0, 479, 0, 0, 0, 0, 1, 480
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\images\svp.png", "encodingImgTargetFile", 0, 0, 0, 42, 0, 0, 0, 0, 0, 42
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\images\svp.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\logo.png", "encodingImgTargetFile", 0, 0, 0, 109, 0, 0, 0, 0, 1, 110
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\logo.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\logo1.svg", "XML", 0, 0, 0, 0, 89, 0, 0, 0, 0, 89
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\svp-Logo-Favicon.png", "encodingImgTargetFile", 0, 0, 0, 89, 0, 0, 0, 0, 0, 89
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\App.css", "CSS", 0, 0, 0, 0, 0, 37, 0, 0, 6, 43
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\App.jsx", "JavaScript JSX", 0, 0, 189, 0, 0, 0, 0, 5, 4, 198
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\app\services\auth\authService.js", "JavaScript", 121, 0, 0, 0, 0, 0, 0, 1, 3, 125
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\app\services\store.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\dashboard\DashboardContents.jsx", "JavaScript JSX", 0, 0, 106, 0, 0, 0, 0, 1, 10, 117
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\dashboard\DashboardLayout.jsx", "JavaScript JSX", 0, 0, 204, 0, 0, 0, 0, 3, 8, 215
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\dashboard\DashboardLayoutContents.jsx", "JavaScript JSX", 0, 0, 199, 0, 0, 0, 0, 2, 6, 207
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\dashboard\Modal.css", "CSS", 0, 0, 0, 0, 0, 70, 0, 2, 12, 84
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\dashboard\ModalContainer.jsx", "JavaScript JSX", 0, 0, 189, 0, 0, 0, 0, 2, 4, 195
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\dashboard\Notification.jsx", "JavaScript JSX", 0, 0, 81, 0, 0, 0, 0, 1, 6, 88
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\dashboard\Project.jsx", "JavaScript JSX", 0, 0, 132, 0, 0, 0, 0, 3, 9, 144
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\dashboard\SkeleteonLoaderTable.jsx", "JavaScript JSX", 0, 0, 40, 0, 0, 0, 0, 1, 5, 46
"c:\Users\USER\Documents\admin-dashboard\Admin-Dashboard-SVP\src\components\dashboard\SkeletonBoard.jsx", "JavaScript JSX", 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
